normalized_sentence,original_sentence,frequency,token_count,unique_token_ratio,has_boilerplate_signal,score,example_locations,example_headline
sign in click for more updates and latest hollywood news along with bollywood and entertainment updates,Sign in  Click for more updates and latest Hollywood News along with Bollywood and Entertainment updates.,17,16,0.875,True,4,"4117 (entertainment_data.csv, entertainment); 4162 (entertainment_data.csv, entertainment); 4332 (entertainment_data.csv, entertainment); 4384 (entertainment_data.csv, entertainment); 4412 (entertainment_data.csv, entertainment); 4424 (entertainment_data.csv, entertainment); 4613 (entertainment_data.csv, entertainment); 4738 (entertainment_data.csv, entertainment); 4881 (entertainment_data.csv, entertainment); 4948 (entertainment_data.csv, entertainment)","Critics Choice Awards 2024 Complete Winners List: Oppenheimer sweep continues with 8 wins, respite for Barbie"
to know more visit parul university,"To know more, visit Parul University",17,6,1.0,False,3,"2323 (education_data.csv, education); 2370 (education_data.csv, education); 3136 (education_data.csv, education); 3169 (education_data.csv, education); 3224 (education_data.csv, education); 3225 (education_data.csv, education); 3226 (education_data.csv, education); 3236 (education_data.csv, education); 3237 (education_data.csv, education); 3312 (education_data.csv, education)",Vaani Kapoor’s Call to Lifelong Learning Echoes at Parul University’s Convocation Ceremony
let s take a look,Let’s take a look.,17,5,1.0,False,3,"8090 (technology_data.csv, technology); 8291 (technology_data.csv, technology); 8343 (technology_data.csv, technology); 8350 (technology_data.csv, technology); 8385 (technology_data.csv, technology); 8402 (technology_data.csv, technology); 8477 (technology_data.csv, technology); 8485 (technology_data.csv, technology); 8733 (technology_data.csv, technology); 8796 (technology_data.csv, technology)","Galaxy S23 for Rs 54,999: Samsung’s Republic Day sale offers up to 57% off on phones and more"
viewer discretion is advised,Viewer discretion is advised.,14,4,1.0,False,4,"334 (business_data.csv, business); 371 (business_data.csv, business); 430 (business_data.csv, business); 2119 (education_data.csv, education); 2151 (education_data.csv, education); 2166 (education_data.csv, education); 2250 (education_data.csv, education); 2290 (education_data.csv, education); 2346 (education_data.csv, education); 2356 (education_data.csv, education)",Financial Stability Unveiled: Why Seniors Should Pick Bajaj Finance Fixed Deposits
last year the figure was 15,"Last year, the figure was 15.",9,6,1.0,False,3,"2801 (education_data.csv, education); 2862 (education_data.csv, education); 2933 (education_data.csv, education); 3128 (education_data.csv, education); 3146 (education_data.csv, education); 3152 (education_data.csv, education); 3189 (education_data.csv, education); 3209 (education_data.csv, education); 3234 (education_data.csv, education)",Why do students in Kota continue to opt for dummy schools? Is it dual burden?
edited excerpts this story is subscriber only,Edited excerpts: This story is subscriber only!,8,7,1.0,True,5,"49 (business_data.csv, business); 240 (business_data.csv, business); 247 (business_data.csv, business); 374 (business_data.csv, business); 592 (business_data.csv, business); 1102 (business_data.csv, business); 1286 (business_data.csv, business); 1436 (business_data.csv, business)","India, US addressing Pannun controversy; Tesla awaits EV policy for entry: Mukesh Aghi"
with inputs from pti,With inputs from PTI,8,4,1.0,False,4,"5 (business_data.csv, business); 2340 (education_data.csv, education); 2890 (education_data.csv, education); 3482 (education_data.csv, education); 3563 (education_data.csv, education); 3771 (education_data.csv, education); 3900 (education_data.csv, education); 4266 (entertainment_data.csv, entertainment)","Q3 Earnings Results: JSW Steel, PNB, ACC report multifold jump in net profit"
a u s,A U.S.,7,3,1.0,False,4,"878 (business_data.csv, business); 972 (business_data.csv, business); 8163 (technology_data.csv, technology); 8497 (technology_data.csv, technology); 9472 (technology_data.csv, technology); 9726 (technology_data.csv, technology); 9776 (technology_data.csv, technology)","World Bank’s Banga faces pressure on resources, shareholder schisms"
advertisement the u s,ADVERTISEMENT The U.S.,5,4,1.0,True,6,"135 (business_data.csv, business); 1395 (business_data.csv, business); 8553 (technology_data.csv, technology); 8921 (technology_data.csv, technology); 9179 (technology_data.csv, technology)","Starbucks India to more than double store count to 1,000 by 2028"
advertisement u s,ADVERTISEMENT U.S.,5,3,1.0,True,6,"700 (business_data.csv, business); 840 (business_data.csv, business); 1088 (business_data.csv, business); 8415 (technology_data.csv, technology); 9435 (technology_data.csv, technology)",ONGC hopes to recover over $500 million dividend as sanctions on Venezuela eased
let s find out,Let’s find out.,5,4,1.0,False,4,"8108 (technology_data.csv, technology); 8573 (technology_data.csv, technology); 9268 (technology_data.csv, technology); 9519 (technology_data.csv, technology); 9585 (technology_data.csv, technology)",Galaxy S24 Ultra vs S23 Ultra: How Samsung’s top-end phones stack up
european markets were trading mostly lower,European markets were trading mostly lower.,5,6,1.0,False,3,"102 (business_data.csv, business); 270 (business_data.csv, business); 429 (business_data.csv, business); 578 (business_data.csv, business); 1045 (business_data.csv, business)","Sensex jumps 759 pts to close at record high, Nifty scales 22K mount on sharp gain in IT shares"
choose your hard,Choose your hard.,4,3,1.0,False,4,"6065 (sports_data.csv, sports); 6065 (sports_data.csv, sports); 6065 (sports_data.csv, sports); 6065 (sports_data.csv, sports)",Sania Mirza and Shoaib Malik are divorced for a few months now: father Imran Mirza says
i don t know,I don’t know.,4,4,1.0,False,4,"6571 (sports_data.csv, sports); 6571 (sports_data.csv, sports); 7018 (sports_data.csv, sports); 7807 (sports_data.csv, sports)","‘We are mature enough, playing international cricket’: Harmanpreet Kaur hits back at Nasser Hussain for ‘schoolgirl error’ comment"
here is my review,Here is my review.,4,4,1.0,False,4,"8364 (technology_data.csv, technology); 8429 (technology_data.csv, technology); 8849 (technology_data.csv, technology); 9579 (technology_data.csv, technology)",I ditched my high-end smartphone for the Lava Storm 5G for a week: Here’s what I learned
european markets were trading in the green,European markets were trading in the green.,4,7,1.0,False,3,"168 (business_data.csv, business); 285 (business_data.csv, business); 312 (business_data.csv, business); 528 (business_data.csv, business)",Markets rebound after falling for two days; Sensex jumps 491 points
she is in her second year now,She is in her second year now.,4,7,1.0,False,3,"2349 (education_data.csv, education); 2484 (education_data.csv, education); 2750 (education_data.csv, education); 2857 (education_data.csv, education)","CUET UG Toppers Tips: ‘Do not ignore maps, boxes from NCERT’"
district court northern district of california no,"District Court, Northern District of California, No.",4,7,0.857,False,3,"8397 (technology_data.csv, technology); 9334 (technology_data.csv, technology); 9472 (technology_data.csv, technology); 9726 (technology_data.csv, technology)",Google settles $5 billion consumer privacy lawsuit
excerpts from the interview,Excerpts from the interview:,3,4,1.0,False,4,"3713 (education_data.csv, education); 4252 (entertainment_data.csv, entertainment); 8928 (technology_data.csv, technology)",‘More government support can make us globally competitive’: Vice-Chancellor NLSIU Sudhir Krishnaswamy
entering their registration details,entering their registration details.,3,4,1.0,False,4,"3746 (education_data.csv, education); 3750 (education_data.csv, education); 3936 (education_data.csv, education)",Bihar Board 10th Compartment Result (Out) 2023: Websites to check score
9 per cent,9 per cent.,3,3,1.0,False,4,"3957 (education_data.csv, education); 3966 (education_data.csv, education); 3979 (education_data.csv, education)","JAC Arts, Commerce Result 2023 Declared: How to check Jharkhand Board +2 results online?"
let s see,Let’s see.,3,3,1.0,False,4,"4708 (entertainment_data.csv, entertainment); 5365 (entertainment_data.csv, entertainment); 6453 (sports_data.csv, sports)",Devil movie review: Kalyan Ram film lacks punch
love and respect,Love and respect.,3,3,1.0,False,4,"5897 (entertainment_data.csv, entertainment); 5913 (entertainment_data.csv, entertainment); 5928 (entertainment_data.csv, entertainment)","Watch video of Ranveer Singh passionately cheering for Team India on David Warner’s dismissal, Shah Rukh Khan and son Aryan’s composed response"
european markets were trading on a mixed note,European markets were trading on a mixed note.,3,8,1.0,False,3,"254 (business_data.csv, business); 481 (business_data.csv, business); 490 (business_data.csv, business)",Stock markets climb for 2nd day on buying in IT shares
european markets were trading with gains,European markets were trading with gains.,3,6,1.0,False,3,"321 (business_data.csv, business); 505 (business_data.csv, business); 542 (business_data.csv, business)","Stock markets settle marginally higher on late buying; L&T, Reliance advance"
the wait is finally over,“The wait is finally over!!,3,5,1.0,False,3,"5923 (entertainment_data.csv, entertainment); 8099 (technology_data.csv, technology); 8736 (technology_data.csv, technology)",‘Thalapathy’ Vijay’s Leo to stream on Netflix from this date
